view_id,query_id,phase,design,protocol,cell,denominator,lower,planned,true,unknown,upper
V10,i_51995fbbe28a6c790ab02462,f,c2-tool-return-grid,scheduled,p01,15,0.0,15,0,0,0.0
V10,i_51995fbbe28a6c790ab02462,f,c2-tool-return-grid,scheduled,p10,15,0.0,15,0,0,0.0
V10,i_51995fbbe28a6c790ab02462,f,c2-tool-return-grid,scheduled,p11,15,1.0,15,15,0,1.0
V10,i_66353a38e186af9745a7012f,f,c2-tool-return-grid,valid_only,p00,13,0.0,15,0,0,0.0
V10,i_66353a38e186af9745a7012f,f,c2-tool-return-grid,valid_only,p01,13,0.0,15,0,0,0.0
V10,i_66353a38e186af9745a7012f,f,c2-tool-return-grid,valid_only,p10,13,0.0,15,0,0,0.0
V10,i_66353a38e186af9745a7012f,f,c2-tool-return-grid,valid_only,p11,13,1.0,15,13,0,1.0
V10,i_2e2200be6e596b25d03b56c9,g,c1-context-grid,scheduled,p00,15,0.0,15,0,0,0.0
V10,i_2e2200be6e596b25d03b56c9,g,c1-context-grid,scheduled,p01,15,0.0,15,0,0,0.0
V10,i_2e2200be6e596b25d03b56c9,g,c1-context-grid,scheduled,p10,15,0.0,15,0,0,0.0
V10,i_2e2200be6e596b25d03b56c9,g,c1-context-grid,scheduled,p11,15,0.6,15,9,0,0.6
V10,i_2dee89a292ad98492a3b2a29,g,c1-context-grid,valid_only,p00,0,,15,0,0,
V10,i_2dee89a292ad98492a3b2a29,g,c1-context-grid,valid_only,p01,0,,15,0,0,
V10,i_2dee89a292ad98492a3b2a29,g,c1-context-grid,valid_only,p10,0,,15,0,0,
V10,i_2dee89a292ad98492a3b2a29,g,c1-context-grid,valid_only,p11,0,,15,0,0,
V10,i_a7db05e53e903af24c867e2c,g,c2-tool-return-grid,scheduled,p00,15,0.0,15,0,0,0.0
V10,i_a7db05e53e903af24c867e2c,g,c2-tool-return-grid,scheduled,p01,15,0.0,15,0,0,0.0
V10,i_a7db05e53e903af24c867e2c,g,c2-tool-return-grid,scheduled,p10,15,0.0,15,0,0,0.0
V10,i_a7db05e53e903af24c867e2c,g,c2-tool-return-grid,scheduled,p11,15,0.4666666666666667,15,7,0,0.4666666666666667
V10,i_99fb18bbf02b615f24b30dd4,g,c2-tool-return-grid,valid_only,p00,1,0.0,15,0,0,0.0
V10,i_99fb18bbf02b615f24b30dd4,g,c2-tool-return-grid,valid_only,p01,1,0.0,15,0,0,0.0
V10,i_99fb18bbf02b615f24b30dd4,g,c2-tool-return-grid,valid_only,p10,1,0.0,15,0,0,0.0
V10,i_99fb18bbf02b615f24b30dd4,g,c2-tool-return-grid,valid_only,p11,1,1.0,15,1,0,1.0
V10,i_63221a8b3fbb859c22ccc1e7,h,c1-context-grid,scheduled,p00,15,0.0,15,0,0,0.0
V10,i_63221a8b3fbb859c22ccc1e7,h,c1-context-grid,scheduled,p01,15,0.0,15,0,0,0.0
V10,i_63221a8b3fbb859c22ccc1e7,h,c1-context-grid,scheduled,p10,15,0.0,15,0,0,0.0
V10,i_63221a8b3fbb859c22ccc1e7,h,c1-context-grid,scheduled,p11,15,0.0,15,0,0,0.0
V10,i_d15c48fbf8946b62d1799de0,h,c1-context-grid,valid_only,p00,15,0.0,15,0,0,0.0
V10,i_d15c48fbf8946b62d1799de0,h,c1-context-grid,valid_only,p01,15,0.0,15,0,0,0.0
V10,i_d15c48fbf8946b62d1799de0,h,c1-context-grid,valid_only,p10,15,0.0,15,0,0,0.0
V10,i_d15c48fbf8946b62d1799de0,h,c1-context-grid,valid_only,p11,15,0.0,15,0,0,0.0
V10,i_a9b8388644a103fe92cd66c2,h,c2-tool-return-grid,scheduled,p00,15,0.0,15,0,0,0.0
V10,i_a9b8388644a103fe92cd66c2,h,c2-tool-return-grid,scheduled,p01,15,0.0,15,0,0,0.0
V10,i_a9b8388644a103fe92cd66c2,h,c2-tool-return-grid,scheduled,p10,15,0.0,15,0,0,0.0
V10,i_a9b8388644a103fe92cd66c2,h,c2-tool-return-grid,scheduled,p11,15,1.0,15,15,0,1.0
V10,i_0e989e548b2c68a47360abd8,h,c2-tool-return-grid,valid_only,p00,13,0.0,15,0,0,0.0
V10,i_0e989e548b2c68a47360abd8,h,c2-tool-return-grid,valid_only,p01,13,0.0,15,0,0,0.0
V10,i_0e989e548b2c68a47360abd8,h,c2-tool-return-grid,valid_only,p10,13,0.0,15,0,0,0.0
V10,i_0e989e548b2c68a47360abd8,h,c2-tool-return-grid,valid_only,p11,13,1.0,15,13,0,1.0
V11,i_3d031958544a8c5247ac8905,f,c1-context-grid,scheduled,p00,15,0.0,15,0,0,0.0
V11,i_3d031958544a8c5247ac8905,f,c1-context-grid,scheduled,p01,15,0.0,15,0,0,0.0
V11,i_3d031958544a8c5247ac8905,f,c1-context-grid,scheduled,p10,15,0.0,15,0,0,0.0
V11,i_3d031958544a8c5247ac8905,f,c1-context-grid,scheduled,p11,15,1.0,15,15,0,1.0
V11,i_d9f7f47a56f73e0b00390941,f,c1-context-grid,valid_only,p00,15,0.0,15,0,0,0.0
V11,i_d9f7f47a56f73e0b00390941,f,c1-context-grid,valid_only,p01,15,0.0,15,0,0,0.0
V11,i_d9f7f47a56f73e0b00390941,f,c1-context-grid,valid_only,p10,15,0.0,15,0,0,0.0
V11,i_d9f7f47a56f73e0b00390941,f,c1-context-grid,valid_only,p11,15,1.0,15,15,0,1.0
V11,i_51995fbbe28a6c790ab02462,f,c2-tool-return-grid,scheduled,p00,15,0.0,15,0,0,0.0
V11,i_51995fbbe28a6c790ab02462,f,c2-tool-return-grid,scheduled,p01,15,0.0,15,0,0,0.0
V11,i_51995fbbe28a6c790ab02462,f,c2-tool-return-grid,scheduled,p10,15,0.0,15,0,0,0.0
V11,i_51995fbbe28a6c790ab02462,f,c2-tool-return-grid,scheduled,p11,15,1.0,15,15,0,1.0
V11,i_66353a38e186af9745a7012f,f,c2-tool-return-grid,valid_only,p00,13,0.0,15,0,0,0.0
V11,i_66353a38e186af9745a7012f,f,c2-tool-return-grid,valid_only,p01,13,0.0,15,0,0,0.0
V11,i_66353a38e186af9745a7012f,f,c2-tool-return-grid,valid_only,p10,13,0.0,15,0,0,0.0
V11,i_66353a38e186af9745a7012f,f,c2-tool-return-grid,valid_only,p11,13,1.0,15,13,0,1.0
V11,i_2e2200be6e596b25d03b56c9,g,c1-context-grid,scheduled,p00,15,0.0,15,0,0,0.0
V11,i_2e2200be6e596b25d03b56c9,g,c1-context-grid,scheduled,p01,15,0.0,15,0,0,0.0
V11,i_2e2200be6e596b25d03b56c9,g,c1-context-grid,scheduled,p10,15,0.0,15,0,0,0.0
V11,i_2e2200be6e596b25d03b56c9,g,c1-context-grid,scheduled,p11,15,0.6,15,9,0,0.6
V11,i_2dee89a292ad98492a3b2a29,g,c1-context-grid,valid_only,p00,0,,15,0,0,
V11,i_2dee89a292ad98492a3b2a29,g,c1-context-grid,valid_only,p01,0,,15,0,0,
V11,i_2dee89a292ad98492a3b2a29,g,c1-context-grid,valid_only,p10,0,,15,0,0,
V11,i_2dee89a292ad98492a3b2a29,g,c1-context-grid,valid_only,p11,0,,15,0,0,
V11,i_a7db05e53e903af24c867e2c,g,c2-tool-return-grid,scheduled,p00,15,0.0,15,0,0,0.0
V11,i_a7db05e53e903af24c867e2c,g,c2-tool-return-grid,scheduled,p01,15,0.0,15,0,0,0.0
V11,i_a7db05e53e903af24c867e2c,g,c2-tool-return-grid,scheduled,p10,15,0.0,15,0,0,0.0
V11,i_a7db05e53e903af24c867e2c,g,c2-tool-return-grid,scheduled,p11,15,0.4666666666666667,15,7,0,0.4666666666666667
V11,i_99fb18bbf02b615f24b30dd4,g,c2-tool-return-grid,valid_only,p00,1,0.0,15,0,0,0.0
V11,i_99fb18bbf02b615f24b30dd4,g,c2-tool-return-grid,valid_only,p01,1,0.0,15,0,0,0.0
V11,i_99fb18bbf02b615f24b30dd4,g,c2-tool-return-grid,valid_only,p10,1,0.0,15,0,0,0.0
V11,i_99fb18bbf02b615f24b30dd4,g,c2-tool-return-grid,valid_only,p11,1,1.0,15,1,0,1.0
V11,i_63221a8b3fbb859c22ccc1e7,h,c1-context-grid,scheduled,p00,15,0.0,15,0,0,0.0
V11,i_63221a8b3fbb859c22ccc1e7,h,c1-context-grid,scheduled,p01,15,0.0,15,0,0,0.0
V11,i_63221a8b3fbb859c22ccc1e7,h,c1-context-grid,scheduled,p10,15,0.0,15,0,0,0.0
V11,i_63221a8b3fbb859c22ccc1e7,h,c1-context-grid,scheduled,p11,15,0.0,15,0,0,0.0
V11,i_d15c48fbf8946b62d1799de0,h,c1-context-grid,valid_only,p00,15,0.0,15,0,0,0.0
V11,i_d15c48fbf8946b62d1799de0,h,c1-context-grid,valid_only,p01,15,0.0,15,0,0,0.0
V11,i_d15c48fbf8946b62d1799de0,h,c1-context-grid,valid_only,p10,15,0.0,15,0,0,0.0
V11,i_d15c48fbf8946b62d1799de0,h,c1-context-grid,valid_only,p11,15,0.0,15,0,0,0.0
V11,i_a9b8388644a103fe92cd66c2,h,c2-tool-return-grid,scheduled,p00,15,0.0,15,0,0,0.0
V11,i_a9b8388644a103fe92cd66c2,h,c2-tool-return-grid,scheduled,p01,15,0.0,15,0,0,0.0
V11,i_a9b8388644a103fe92cd66c2,h,c2-tool-return-grid,scheduled,p10,15,0.0,15,0,0,0.0
V11,i_a9b8388644a103fe92cd66c2,h,c2-tool-return-grid,scheduled,p11,15,1.0,15,15,0,1.0
V11,i_0e989e548b2c68a47360abd8,h,c2-tool-return-grid,valid_only,p00,13,0.0,15,0,0,0.0
V11,i_0e989e548b2c68a47360abd8,h,c2-tool-return-grid,valid_only,p01,13,0.0,15,0,0,0.0
V11,i_0e989e548b2c68a47360abd8,h,c2-tool-return-grid,valid_only,p10,13,0.0,15,0,0,0.0
V11,i_0e989e548b2c68a47360abd8,h,c2-tool-return-grid,valid_only,p11,13,1.0,15,13,0,1.0
V12,i_3d031958544a8c5247ac8905,f,c1-context-grid,scheduled,p00,15,0.0,15,0,0,0.0
V12,i_3d031958544a8c5247ac8905,f,c1-context-grid,scheduled,p01,15,0.0,15,0,0,0.0
V12,i_3d031958544a8c5247ac8905,f,c1-context-grid,scheduled,p10,15,0.0,15,0,0,0.0
V12,i_3d031958544a8c5247ac8905,f,c1-context-grid,scheduled,p11,15,1.0,15,15,0,1.0
V12,i_d9f7f47a56f73e0b00390941,f,c1-context-grid,valid_only,p00,15,0.0,15,0,0,0.0
V12,i_d9f7f47a56f73e0b00390941,f,c1-context-grid,valid_only,p01,15,0.0,15,0,0,0.0
V12,i_d9f7f47a56f73e0b00390941,f,c1-context-grid,valid_only,p10,15,0.0,15,0,0,0.0
V12,i_d9f7f47a56f73e0b00390941,f,c1-context-grid,valid_only,p11,15,1.0,15,15,0,1.0
V12,i_51995fbbe28a6c790ab02462,f,c2-tool-return-grid,scheduled,p00,15,0.0,15,0,0,0.0
V12,i_51995fbbe28a6c790ab02462,f,c2-tool-return-grid,scheduled,p01,15,0.0,15,0,0,0.0
V12,i_51995fbbe28a6c790ab02462,f,c2-tool-return-grid,scheduled,p10,15,0.0,15,0,0,0.0
V12,i_51995fbbe28a6c790ab02462,f,c2-tool-return-grid,scheduled,p11,15,1.0,15,15,0,1.0
V12,i_66353a38e186af9745a7012f,f,c2-tool-return-grid,valid_only,p00,13,0.0,15,0,0,0.0
V12,i_66353a38e186af9745a7012f,f,c2-tool-return-grid,valid_only,p01,13,0.0,15,0,0,0.0
V12,i_66353a38e186af9745a7012f,f,c2-tool-return-grid,valid_only,p10,13,0.0,15,0,0,0.0
V12,i_66353a38e186af9745a7012f,f,c2-tool-return-grid,valid_only,p11,13,1.0,15,13,0,1.0
V12,i_2e2200be6e596b25d03b56c9,g,c1-context-grid,scheduled,p00,15,0.0,15,0,0,0.0
V12,i_2e2200be6e596b25d03b56c9,g,c1-context-grid,scheduled,p01,15,0.0,15,0,0,0.0
V12,i_2e2200be6e596b25d03b56c9,g,c1-context-grid,scheduled,p10,15,0.0,15,0,0,0.0
V12,i_2e2200be6e596b25d03b56c9,g,c1-context-grid,scheduled,p11,15,0.6,15,9,0,0.6
V12,i_2dee89a292ad98492a3b2a29,g,c1-context-grid,valid_only,p00,0,,15,0,0,
V12,i_2dee89a292ad98492a3b2a29,g,c1-context-grid,valid_only,p01,0,,15,0,0,
V12,i_2dee89a292ad98492a3b2a29,g,c1-context-grid,valid_only,p10,0,,15,0,0,
V12,i_2dee89a292ad98492a3b2a29,g,c1-context-grid,valid_only,p11,0,,15,0,0,
V12,i_a7db05e53e903af24c867e2c,g,c2-tool-return-grid,scheduled,p00,15,0.0,15,0,0,0.0
V12,i_a7db05e53e903af24c867e2c,g,c2-tool-return-grid,scheduled,p01,15,0.0,15,0,0,0.0
V12,i_a7db05e53e903af24c867e2c,g,c2-tool-return-grid,scheduled,p10,15,0.0,15,0,0,0.0
V12,i_a7db05e53e903af24c867e2c,g,c2-tool-return-grid,scheduled,p11,15,0.4666666666666667,15,7,0,0.4666666666666667
V12,i_99fb18bbf02b615f24b30dd4,g,c2-tool-return-grid,valid_only,p00,1,0.0,15,0,0,0.0
V12,i_99fb18bbf02b615f24b30dd4,g,c2-tool-return-grid,valid_only,p01,1,0.0,15,0,0,0.0
V12,i_99fb18bbf02b615f24b30dd4,g,c2-tool-return-grid,valid_only,p10,1,0.0,15,0,0,0.0
V12,i_99fb18bbf02b615f24b30dd4,g,c2-tool-return-grid,valid_only,p11,1,1.0,15,1,0,1.0
V12,i_63221a8b3fbb859c22ccc1e7,h,c1-context-grid,scheduled,p00,15,0.0,15,0,0,0.0
V12,i_63221a8b3fbb859c22ccc1e7,h,c1-context-grid,scheduled,p01,15,0.0,15,0,0,0.0
V12,i_63221a8b3fbb859c22ccc1e7,h,c1-context-grid,scheduled,p10,15,0.0,15,0,0,0.0
V12,i_63221a8b3fbb859c22ccc1e7,h,c1-context-grid,scheduled,p11,15,0.0,15,0,0,0.0
V12,i_d15c48fbf8946b62d1799de0,h,c1-context-grid,valid_only,p00,15,0.0,15,0,0,0.0
V12,i_d15c48fbf8946b62d1799de0,h,c1-context-grid,valid_only,p01,15,0.0,15,0,0,0.0
V12,i_d15c48fbf8946b62d1799de0,h,c1-context-grid,valid_only,p10,15,0.0,15,0,0,0.0
V12,i_d15c48fbf8946b62d1799de0,h,c1-context-grid,valid_only,p11,15,0.0,15,0,0,0.0
V12,i_a9b8388644a103fe92cd66c2,h,c2-tool-return-grid,scheduled,p00,15,0.0,15,0,0,0.0
V12,i_a9b8388644a103fe92cd66c2,h,c2-tool-return-grid,scheduled,p01,15,0.0,15,0,0,0.0
V12,i_a9b8388644a103fe92cd66c2,h,c2-tool-return-grid,scheduled,p10,15,0.0,15,0,0,0.0
V12,i_a9b8388644a103fe92cd66c2,h,c2-tool-return-grid,scheduled,p11,15,1.0,15,15,0,1.0
V12,i_0e989e548b2c68a47360abd8,h,c2-tool-return-grid,valid_only,p00,13,0.0,15,0,0,0.0
V12,i_0e989e548b2c68a47360abd8,h,c2-tool-return-grid,valid_only,p01,13,0.0,15,0,0,0.0
V12,i_0e989e548b2c68a47360abd8,h,c2-tool-return-grid,valid_only,p10,13,0.0,15,0,0,0.0
V12,i_0e989e548b2c68a47360abd8,h,c2-tool-return-grid,valid_only,p11,13,1.0,15,13,0,1.0
