view_id,query_id,domain,phase,native_unit_ref,protocol,horizon,source_variant,source_ref,result_ref,eligibility,status,value,lower,upper,cells,identification_interval_is_not_sampling_interval,sampling_interval
V06,i_d9f7f47a56f73e0b00390941,HISTORICAL_LIVE,f,c1-context-grid,valid_only,,,datasets/t17-v2/stages/f/matrix.jsonl,results/V06.jsonl#L16556,True,point,1.0,1.0,1.0,"{""p00"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p01"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p10"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p11"":{""denominator"":15,""lower"":1.0,""planned"":15,""true"":15,""unknown"":0,""upper"":1.0}}",True,"{""clusters"":5,""lower"":1.0,""method"":""cluster_bootstrap"",""resamples"":10000,""seed"":17017,""upper"":1.0}"
V06,i_51995fbbe28a6c790ab02462,HISTORICAL_LIVE,f,c2-tool-return-grid,scheduled,,,datasets/t17-v2/stages/f/matrix.jsonl,results/V06.jsonl#L16558,True,point,1.0,1.0,1.0,"{""p00"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p01"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p10"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p11"":{""denominator"":15,""lower"":1.0,""planned"":15,""true"":15,""unknown"":0,""upper"":1.0}}",True,"{""clusters"":5,""lower"":1.0,""method"":""cluster_bootstrap"",""resamples"":10000,""seed"":17017,""upper"":1.0}"
V06,i_66353a38e186af9745a7012f,HISTORICAL_LIVE,f,c2-tool-return-grid,valid_only,,,datasets/t17-v2/stages/f/matrix.jsonl,results/V06.jsonl#L16559,True,point,1.0,1.0,1.0,"{""p00"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p01"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p10"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p11"":{""denominator"":15,""lower"":1.0,""planned"":15,""true"":15,""unknown"":0,""upper"":1.0}}",True,"{""clusters"":5,""lower"":1.0,""method"":""cluster_bootstrap"",""resamples"":10000,""seed"":17017,""upper"":1.0}"
V06,i_2e2200be6e596b25d03b56c9,HISTORICAL_LIVE,g,c1-context-grid,scheduled,,,datasets/t17-v2/stages/g/matrix.jsonl,results/V06.jsonl#L16561,True,point,0.6,0.6,0.6,"{""p00"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p01"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p10"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p11"":{""denominator"":15,""lower"":0.6,""planned"":15,""true"":9,""unknown"":0,""upper"":0.6}}",True,"{""clusters"":5,""lower"":0.4,""method"":""cluster_bootstrap"",""resamples"":10000,""seed"":17017,""upper"":0.8}"
V06,i_2dee89a292ad98492a3b2a29,HISTORICAL_LIVE,g,c1-context-grid,valid_only,,,datasets/t17-v2/stages/g/matrix.jsonl,results/V06.jsonl#L16562,False,not_applicable,,,,"{""p00"":{""denominator"":0,""lower"":null,""planned"":15,""true"":0,""unknown"":0,""upper"":null},""p01"":{""denominator"":0,""lower"":null,""planned"":15,""true"":0,""unknown"":0,""upper"":null},""p10"":{""denominator"":0,""lower"":null,""planned"":15,""true"":0,""unknown"":0,""upper"":null},""p11"":{""denominator"":0,""lower"":null,""planned"":15,""true"":0,""unknown"":0,""upper"":null}}",,
V06,i_a7db05e53e903af24c867e2c,HISTORICAL_LIVE,g,c2-tool-return-grid,scheduled,,,datasets/t17-v2/stages/g/matrix.jsonl,results/V06.jsonl#L16564,True,point,0.4666666666666667,0.4666666666666667,0.4666666666666667,"{""p00"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p01"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p10"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p11"":{""denominator"":15,""lower"":0.4666666666666667,""planned"":15,""true"":7,""unknown"":0,""upper"":0.4666666666666667}}",True,"{""clusters"":5,""lower"":0.2,""method"":""cluster_bootstrap"",""resamples"":10000,""seed"":17017,""upper"":0.6666666666666666}"
V06,i_99fb18bbf02b615f24b30dd4,HISTORICAL_LIVE,g,c2-tool-return-grid,valid_only,,,datasets/t17-v2/stages/g/matrix.jsonl,results/V06.jsonl#L16565,True,point,1.0,1.0,1.0,"{""p00"":{""denominator"":1,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p01"":{""denominator"":1,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p10"":{""denominator"":1,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p11"":{""denominator"":1,""lower"":1.0,""planned"":15,""true"":1,""unknown"":0,""upper"":1.0}}",True,
V06,i_63221a8b3fbb859c22ccc1e7,HISTORICAL_LIVE,h,c1-context-grid,scheduled,,,datasets/t17-v2/stages/h/matrix.jsonl,results/V06.jsonl#L16567,True,point,0.0,0.0,0.0,"{""p00"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p01"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p10"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p11"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0}}",True,"{""clusters"":5,""lower"":0.0,""method"":""cluster_bootstrap"",""resamples"":10000,""seed"":17017,""upper"":0.0}"
V06,i_d15c48fbf8946b62d1799de0,HISTORICAL_LIVE,h,c1-context-grid,valid_only,,,datasets/t17-v2/stages/h/matrix.jsonl,results/V06.jsonl#L16568,True,point,0.0,0.0,0.0,"{""p00"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p01"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p10"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p11"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0}}",True,"{""clusters"":5,""lower"":0.0,""method"":""cluster_bootstrap"",""resamples"":10000,""seed"":17017,""upper"":0.0}"
V06,i_a9b8388644a103fe92cd66c2,HISTORICAL_LIVE,h,c2-tool-return-grid,scheduled,,,datasets/t17-v2/stages/h/matrix.jsonl,results/V06.jsonl#L16570,True,point,1.0,1.0,1.0,"{""p00"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p01"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p10"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p11"":{""denominator"":15,""lower"":1.0,""planned"":15,""true"":15,""unknown"":0,""upper"":1.0}}",True,"{""clusters"":5,""lower"":1.0,""method"":""cluster_bootstrap"",""resamples"":10000,""seed"":17017,""upper"":1.0}"
V06,i_0e989e548b2c68a47360abd8,HISTORICAL_LIVE,h,c2-tool-return-grid,valid_only,,,datasets/t17-v2/stages/h/matrix.jsonl,results/V06.jsonl#L16571,True,point,1.0,1.0,1.0,"{""p00"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p01"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p10"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p11"":{""denominator"":15,""lower"":1.0,""planned"":15,""true"":15,""unknown"":0,""upper"":1.0}}",True,"{""clusters"":5,""lower"":1.0,""method"":""cluster_bootstrap"",""resamples"":10000,""seed"":17017,""upper"":1.0}"
V07,i_3d031958544a8c5247ac8905,HISTORICAL_LIVE,f,c1-context-grid,scheduled,,,datasets/t17-v2/stages/f/matrix.jsonl,results/V07.jsonl#L16555,True,point,1.0,1.0,1.0,"{""p00"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p01"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p10"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p11"":{""denominator"":15,""lower"":1.0,""planned"":15,""true"":15,""unknown"":0,""upper"":1.0}}",True,"{""clusters"":5,""lower"":1.0,""method"":""cluster_bootstrap"",""resamples"":10000,""seed"":17017,""upper"":1.0}"
V07,i_d9f7f47a56f73e0b00390941,HISTORICAL_LIVE,f,c1-context-grid,valid_only,,,datasets/t17-v2/stages/f/matrix.jsonl,results/V07.jsonl#L16556,True,point,1.0,1.0,1.0,"{""p00"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p01"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p10"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p11"":{""denominator"":15,""lower"":1.0,""planned"":15,""true"":15,""unknown"":0,""upper"":1.0}}",True,"{""clusters"":5,""lower"":1.0,""method"":""cluster_bootstrap"",""resamples"":10000,""seed"":17017,""upper"":1.0}"
V07,i_51995fbbe28a6c790ab02462,HISTORICAL_LIVE,f,c2-tool-return-grid,scheduled,,,datasets/t17-v2/stages/f/matrix.jsonl,results/V07.jsonl#L16558,True,point,1.0,1.0,1.0,"{""p00"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p01"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p10"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p11"":{""denominator"":15,""lower"":1.0,""planned"":15,""true"":15,""unknown"":0,""upper"":1.0}}",True,"{""clusters"":5,""lower"":1.0,""method"":""cluster_bootstrap"",""resamples"":10000,""seed"":17017,""upper"":1.0}"
V07,i_66353a38e186af9745a7012f,HISTORICAL_LIVE,f,c2-tool-return-grid,valid_only,,,datasets/t17-v2/stages/f/matrix.jsonl,results/V07.jsonl#L16559,True,point,1.0,1.0,1.0,"{""p00"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p01"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p10"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p11"":{""denominator"":15,""lower"":1.0,""planned"":15,""true"":15,""unknown"":0,""upper"":1.0}}",True,"{""clusters"":5,""lower"":1.0,""method"":""cluster_bootstrap"",""resamples"":10000,""seed"":17017,""upper"":1.0}"
V07,i_2e2200be6e596b25d03b56c9,HISTORICAL_LIVE,g,c1-context-grid,scheduled,,,datasets/t17-v2/stages/g/matrix.jsonl,results/V07.jsonl#L16561,True,point,0.6,0.6,0.6,"{""p00"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p01"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p10"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p11"":{""denominator"":15,""lower"":0.6,""planned"":15,""true"":9,""unknown"":0,""upper"":0.6}}",True,"{""clusters"":5,""lower"":0.4,""method"":""cluster_bootstrap"",""resamples"":10000,""seed"":17017,""upper"":0.8}"
V07,i_2dee89a292ad98492a3b2a29,HISTORICAL_LIVE,g,c1-context-grid,valid_only,,,datasets/t17-v2/stages/g/matrix.jsonl,results/V07.jsonl#L16562,False,not_applicable,,,,"{""p00"":{""denominator"":0,""lower"":null,""planned"":15,""true"":0,""unknown"":0,""upper"":null},""p01"":{""denominator"":0,""lower"":null,""planned"":15,""true"":0,""unknown"":0,""upper"":null},""p10"":{""denominator"":0,""lower"":null,""planned"":15,""true"":0,""unknown"":0,""upper"":null},""p11"":{""denominator"":0,""lower"":null,""planned"":15,""true"":0,""unknown"":0,""upper"":null}}",,
V07,i_a7db05e53e903af24c867e2c,HISTORICAL_LIVE,g,c2-tool-return-grid,scheduled,,,datasets/t17-v2/stages/g/matrix.jsonl,results/V07.jsonl#L16564,True,point,0.4666666666666667,0.4666666666666667,0.4666666666666667,"{""p00"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p01"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p10"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p11"":{""denominator"":15,""lower"":0.4666666666666667,""planned"":15,""true"":7,""unknown"":0,""upper"":0.4666666666666667}}",True,"{""clusters"":5,""lower"":0.2,""method"":""cluster_bootstrap"",""resamples"":10000,""seed"":17017,""upper"":0.6666666666666666}"
V07,i_99fb18bbf02b615f24b30dd4,HISTORICAL_LIVE,g,c2-tool-return-grid,valid_only,,,datasets/t17-v2/stages/g/matrix.jsonl,results/V07.jsonl#L16565,True,point,1.0,1.0,1.0,"{""p00"":{""denominator"":1,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p01"":{""denominator"":1,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p10"":{""denominator"":1,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p11"":{""denominator"":1,""lower"":1.0,""planned"":15,""true"":1,""unknown"":0,""upper"":1.0}}",True,
V07,i_63221a8b3fbb859c22ccc1e7,HISTORICAL_LIVE,h,c1-context-grid,scheduled,,,datasets/t17-v2/stages/h/matrix.jsonl,results/V07.jsonl#L16567,True,point,0.0,0.0,0.0,"{""p00"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p01"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p10"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p11"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0}}",True,"{""clusters"":5,""lower"":0.0,""method"":""cluster_bootstrap"",""resamples"":10000,""seed"":17017,""upper"":0.0}"
V07,i_d15c48fbf8946b62d1799de0,HISTORICAL_LIVE,h,c1-context-grid,valid_only,,,datasets/t17-v2/stages/h/matrix.jsonl,results/V07.jsonl#L16568,True,point,0.0,0.0,0.0,"{""p00"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p01"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p10"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p11"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0}}",True,"{""clusters"":5,""lower"":0.0,""method"":""cluster_bootstrap"",""resamples"":10000,""seed"":17017,""upper"":0.0}"
V07,i_a9b8388644a103fe92cd66c2,HISTORICAL_LIVE,h,c2-tool-return-grid,scheduled,,,datasets/t17-v2/stages/h/matrix.jsonl,results/V07.jsonl#L16570,True,point,1.0,1.0,1.0,"{""p00"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p01"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p10"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p11"":{""denominator"":15,""lower"":1.0,""planned"":15,""true"":15,""unknown"":0,""upper"":1.0}}",True,"{""clusters"":5,""lower"":1.0,""method"":""cluster_bootstrap"",""resamples"":10000,""seed"":17017,""upper"":1.0}"
V07,i_0e989e548b2c68a47360abd8,HISTORICAL_LIVE,h,c2-tool-return-grid,valid_only,,,datasets/t17-v2/stages/h/matrix.jsonl,results/V07.jsonl#L16571,True,point,1.0,1.0,1.0,"{""p00"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p01"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p10"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p11"":{""denominator"":15,""lower"":1.0,""planned"":15,""true"":15,""unknown"":0,""upper"":1.0}}",True,"{""clusters"":5,""lower"":1.0,""method"":""cluster_bootstrap"",""resamples"":10000,""seed"":17017,""upper"":1.0}"
V08,i_3d031958544a8c5247ac8905,HISTORICAL_LIVE,f,c1-context-grid,scheduled,,,datasets/t17-v2/stages/f/matrix.jsonl,results/V08.jsonl#L16555,True,point,1.0,1.0,1.0,"{""p00"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p01"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p10"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p11"":{""denominator"":15,""lower"":1.0,""planned"":15,""true"":15,""unknown"":0,""upper"":1.0}}",True,"{""clusters"":5,""lower"":1.0,""method"":""cluster_bootstrap"",""resamples"":10000,""seed"":17017,""upper"":1.0}"
V08,i_d9f7f47a56f73e0b00390941,HISTORICAL_LIVE,f,c1-context-grid,valid_only,,,datasets/t17-v2/stages/f/matrix.jsonl,results/V08.jsonl#L16556,True,point,1.0,1.0,1.0,"{""p00"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p01"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p10"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p11"":{""denominator"":15,""lower"":1.0,""planned"":15,""true"":15,""unknown"":0,""upper"":1.0}}",True,"{""clusters"":5,""lower"":1.0,""method"":""cluster_bootstrap"",""resamples"":10000,""seed"":17017,""upper"":1.0}"
V08,i_51995fbbe28a6c790ab02462,HISTORICAL_LIVE,f,c2-tool-return-grid,scheduled,,,datasets/t17-v2/stages/f/matrix.jsonl,results/V08.jsonl#L16558,True,point,1.0,1.0,1.0,"{""p00"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p01"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p10"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p11"":{""denominator"":15,""lower"":1.0,""planned"":15,""true"":15,""unknown"":0,""upper"":1.0}}",True,"{""clusters"":5,""lower"":1.0,""method"":""cluster_bootstrap"",""resamples"":10000,""seed"":17017,""upper"":1.0}"
V08,i_66353a38e186af9745a7012f,HISTORICAL_LIVE,f,c2-tool-return-grid,valid_only,,,datasets/t17-v2/stages/f/matrix.jsonl,results/V08.jsonl#L16559,True,point,1.0,1.0,1.0,"{""p00"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p01"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p10"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p11"":{""denominator"":15,""lower"":1.0,""planned"":15,""true"":15,""unknown"":0,""upper"":1.0}}",True,"{""clusters"":5,""lower"":1.0,""method"":""cluster_bootstrap"",""resamples"":10000,""seed"":17017,""upper"":1.0}"
V08,i_2e2200be6e596b25d03b56c9,HISTORICAL_LIVE,g,c1-context-grid,scheduled,,,datasets/t17-v2/stages/g/matrix.jsonl,results/V08.jsonl#L16561,True,point,0.6,0.6,0.6,"{""p00"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p01"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p10"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p11"":{""denominator"":15,""lower"":0.6,""planned"":15,""true"":9,""unknown"":0,""upper"":0.6}}",True,"{""clusters"":5,""lower"":0.4,""method"":""cluster_bootstrap"",""resamples"":10000,""seed"":17017,""upper"":0.8}"
V08,i_2dee89a292ad98492a3b2a29,HISTORICAL_LIVE,g,c1-context-grid,valid_only,,,datasets/t17-v2/stages/g/matrix.jsonl,results/V08.jsonl#L16562,False,not_applicable,,,,"{""p00"":{""denominator"":0,""lower"":null,""planned"":15,""true"":0,""unknown"":0,""upper"":null},""p01"":{""denominator"":0,""lower"":null,""planned"":15,""true"":0,""unknown"":0,""upper"":null},""p10"":{""denominator"":0,""lower"":null,""planned"":15,""true"":0,""unknown"":0,""upper"":null},""p11"":{""denominator"":0,""lower"":null,""planned"":15,""true"":0,""unknown"":0,""upper"":null}}",,
V08,i_a7db05e53e903af24c867e2c,HISTORICAL_LIVE,g,c2-tool-return-grid,scheduled,,,datasets/t17-v2/stages/g/matrix.jsonl,results/V08.jsonl#L16564,True,point,0.4666666666666667,0.4666666666666667,0.4666666666666667,"{""p00"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p01"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p10"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p11"":{""denominator"":15,""lower"":0.4666666666666667,""planned"":15,""true"":7,""unknown"":0,""upper"":0.4666666666666667}}",True,"{""clusters"":5,""lower"":0.2,""method"":""cluster_bootstrap"",""resamples"":10000,""seed"":17017,""upper"":0.6666666666666666}"
V08,i_99fb18bbf02b615f24b30dd4,HISTORICAL_LIVE,g,c2-tool-return-grid,valid_only,,,datasets/t17-v2/stages/g/matrix.jsonl,results/V08.jsonl#L16565,True,point,1.0,1.0,1.0,"{""p00"":{""denominator"":1,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p01"":{""denominator"":1,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p10"":{""denominator"":1,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p11"":{""denominator"":1,""lower"":1.0,""planned"":15,""true"":1,""unknown"":0,""upper"":1.0}}",True,
V08,i_63221a8b3fbb859c22ccc1e7,HISTORICAL_LIVE,h,c1-context-grid,scheduled,,,datasets/t17-v2/stages/h/matrix.jsonl,results/V08.jsonl#L16567,True,point,0.0,0.0,0.0,"{""p00"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p01"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p10"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p11"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0}}",True,"{""clusters"":5,""lower"":0.0,""method"":""cluster_bootstrap"",""resamples"":10000,""seed"":17017,""upper"":0.0}"
V08,i_d15c48fbf8946b62d1799de0,HISTORICAL_LIVE,h,c1-context-grid,valid_only,,,datasets/t17-v2/stages/h/matrix.jsonl,results/V08.jsonl#L16568,True,point,0.0,0.0,0.0,"{""p00"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p01"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p10"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p11"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0}}",True,"{""clusters"":5,""lower"":0.0,""method"":""cluster_bootstrap"",""resamples"":10000,""seed"":17017,""upper"":0.0}"
V08,i_a9b8388644a103fe92cd66c2,HISTORICAL_LIVE,h,c2-tool-return-grid,scheduled,,,datasets/t17-v2/stages/h/matrix.jsonl,results/V08.jsonl#L16570,True,point,1.0,1.0,1.0,"{""p00"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p01"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p10"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p11"":{""denominator"":15,""lower"":1.0,""planned"":15,""true"":15,""unknown"":0,""upper"":1.0}}",True,"{""clusters"":5,""lower"":1.0,""method"":""cluster_bootstrap"",""resamples"":10000,""seed"":17017,""upper"":1.0}"
V08,i_0e989e548b2c68a47360abd8,HISTORICAL_LIVE,h,c2-tool-return-grid,valid_only,,,datasets/t17-v2/stages/h/matrix.jsonl,results/V08.jsonl#L16571,True,point,1.0,1.0,1.0,"{""p00"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p01"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p10"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p11"":{""denominator"":15,""lower"":1.0,""planned"":15,""true"":15,""unknown"":0,""upper"":1.0}}",True,"{""clusters"":5,""lower"":1.0,""method"":""cluster_bootstrap"",""resamples"":10000,""seed"":17017,""upper"":1.0}"
V09,i_3d031958544a8c5247ac8905,HISTORICAL_LIVE,f,c1-context-grid,scheduled,,,datasets/t17-v2/stages/f/matrix.jsonl,results/V09.jsonl#L16555,True,point,1.0,1.0,1.0,"{""p00"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p01"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p10"":{""denominator"":15,""lower"":0.0,""planned"":15,""true"":0,""unknown"":0,""upper"":0.0},""p11"":{""denominator"":15,""lower"":1.0,""planned"":15,""true"":15,""unknown"":0,""upper"":1.0}}",True,"{""clusters"":5,""lower"":1.0,""method"":""cluster_bootstrap"",""resamples"":10000,""seed"":17017,""upper"":1.0}"
